Medi Spa Name,Address,City,ZIP Code,Latitude,Longitude,Services,Price Range
Well Medical Arts,2366 Eastlake Ave E,Seattle,98102,47.6421,-122.3243,"Botox, Fillers, Laser, Facials",$$$$
Allure Esthetic,1101 Madison St Suite 1280,Seattle,98104,47.6095,-122.3201,"Medical Spa, Injectables, Body Contouring",$$$$
Seattle Plastic Surgery,600 Broadway Suite 320,Seattle,98122,47.6043,-122.3201,"Botox, Fillers, CoolSculpting",$$$$
The Langdon Center,910 Broadway,Seattle,98122,47.6064,-122.3211,"Full Service Medical Spa",$$$$
Skin Spirit,2208 NW Market St,Seattle,98107,47.6686,-122.3856,"Botox, Fillers, Laser Facials",$$$$
Modbar Skin,2100 NW Market St Suite 212,Seattle,98107,47.6684,-122.3867,"Medical-grade Facials, Laser",$$$
Egrari Skin,1200 Westlake Ave N Suite 900,Seattle,98109,47.6283,-122.3394,"Advanced Skincare, Injectables",$$$$
Queen Anne Laser & Skin Care,550 1st Ave N,Seattle,98109,47.6239,-122.3561,"Laser Hair Removal, Skin Rejuvenation",$$$
Rejuvenation MD,1229 Madison St Suite 1240,Seattle,98104,47.6097,-122.3167,"Anti-aging, Hormone Therapy, Medical Spa",$$$$
Alegria Medical Spa,4540 Union Bay Pl NE,Seattle,98105,47.6534,-122.2989,"Botox, Fillers, Laser",$$$
Bellevue Laser & Cosmetic Center,1200 116th Ave NE Suite F,Bellevue,98004,47.6156,-122.1856,"Laser, CoolSculpting, Injectables",$$$$
The Gallery of Cosmetic Surgery,10560 NE 15th St,Bellevue,98004,47.6189,-122.1934,"Medical Spa & Plastic Surgery",$$$$
Werschler Aesthetics,520 106th Ave NE Suite 110,Bellevue,98004,47.6123,-122.1978,"Dermatology & Medical Spa",$$$$
Skin Spirit,700 Bellevue Way NE,Bellevue,98004,47.6167,-122.2012,"Botox, Fillers, Laser, Facials",$$$$
Bellevue Medspa,1200 116th Ave NE,Bellevue,98004,47.6156,-122.1856,"Full Service Medical Spa",$$$
Allura Skin & Laser,15600 NE 8th St Suite B1-340,Bellevue,98008,47.6189,-122.1423,"Laser Hair Removal, Facials",$$$$
Aesthetic & Dermatology,1200 116th Ave NE Suite D,Bellevue,98004,47.6156,-122.1856,"Medical Spa Services",$$$$
Pacific Dermatology & Cosmetic Center,1101 116th Ave NE,Bellevue,98004,47.6145,-122.1867,"Laser, Botox, Fillers",$$$$
